setting,value,corpus,rows,unique_propositions,policy_models
include_bn_survey,False,,,,
human_source,llm-human-target,,,,
human_persuader_model,openai/gpt-5,,,,
policy_model,gpt-5-2025-08-07,,,,
include_human_reference,False,,,,
naive_policy_model,naive,,,,
turn_limit,4,,,,
participant_proposition,false,,,,
include_control,True,,,,
include_audio,False,,,,
min_date,2026-05-03,,,,
,,vanilla_llm_target__policy=gpt-5-2025-08-07,135,27,openai/gpt-5:135
,,structure_target__policy=gpt-5-2025-08-07,135,27,openai/gpt-5:135
,,full_simulated_target__policy=gpt-5-2025-08-07,405,27,openai/gpt-5:405
,,vanilla_llm_target__policy=naive,135,27,naive:135
,,structure_target__policy=naive,135,27,naive:135
,,full_simulated_target__policy=naive,405,27,naive:405
