setting,value,corpus,rows,unique_propositions,policy_models
include_bn_survey,False,,,,
human_source,llm-human-target,,,,
human_persuader_model,openai/gpt-5,,,,
policy_model,gpt-5-2025-08-07,,,,
include_human_reference,False,,,,
naive_policy_model,naive,,,,
turn_limit,4,,,,
participant_proposition,false,,,,
include_control,False,,,,
include_audio,False,,,,
min_date,None,,,,
,,vanilla_llm_target__policy=gpt-5-2025-08-07,81,27,openai/gpt-5:81
,,structure_target__policy=gpt-5-2025-08-07,81,27,openai/gpt-5:81
,,full_simulated_target__policy=gpt-5-2025-08-07,243,27,openai/gpt-5:243
,,vanilla_llm_target__policy=naive,81,27,naive:81
,,structure_target__policy=naive,81,27,naive:81
,,full_simulated_target__policy=naive,243,27,naive:243
