simulator_panel,simulator_label,rank_left_to_right,policy_model,policy_label,mean_terminal_delta,ci95_low,ci95_high,n_episodes,personas_averaged,source_file
vanilla_llm_target,Unstructured LLM Target,1,anthropic/claude-opus-4-7,claude-opus-4.7,0.12538162360936775,0.10677171192958532,0.14399153528915018,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
vanilla_llm_target,Unstructured LLM Target,2,naive,naive,0.11785075941183688,0.09237865097327434,0.14332286785039944,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
vanilla_llm_target,Unstructured LLM Target,3,openai/gpt-5.4,gpt5.4,0.10157915447356529,0.08144068076764006,0.12171762817949051,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
vanilla_llm_target,Unstructured LLM Target,4,gemini/gemini-3.1-pro-preview,gemini-3.1-pro,0.09101125323899739,0.0727265716025535,0.10929593487544129,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
vanilla_llm_target,Unstructured LLM Target,5,xai/grok-4.20-non-reasoning,grok-4.20,0.049307549535293684,0.03582603915352434,0.06278905991706302,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
vanilla_llm_target,Unstructured LLM Target,6,together_ai/Qwen/Qwen3.5-397B-A17B,qwen3.5-397b,0.04046804336245416,0.029643396733378492,0.051292689991529826,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
structure_target,Structured LLM Target,1,naive,naive,0.20239996865580726,0.1723503166552937,0.2324496206563208,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
structure_target,Structured LLM Target,2,openai/gpt-5.4,gpt5.4,0.1458814501372887,0.12237864925971387,0.16938425101486354,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
structure_target,Structured LLM Target,3,anthropic/claude-opus-4-7,claude-opus-4.7,0.12357597221727983,0.10403207971472773,0.1431198647198319,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
structure_target,Structured LLM Target,4,gemini/gemini-3.1-pro-preview,gemini-3.1-pro,0.09677033902617761,0.07821970775573933,0.1153209702966159,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
structure_target,Structured LLM Target,5,together_ai/Qwen/Qwen3.5-397B-A17B,qwen3.5-397b,0.05499256124839983,0.039185800621032676,0.07079932187576699,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
structure_target,Structured LLM Target,6,xai/grok-4.20-non-reasoning,grok-4.20,0.05332509475179022,0.037389179679567675,0.06926100982401276,405,1,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
full_simulated_target_avg,BN Target,1,xai/grok-4.20-non-reasoning,grok-4.20,0.0526783973023688,0.046646073974278425,0.05871072063045917,1215,3,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
full_simulated_target_avg,BN Target,2,openai/gpt-5.4,gpt5.4,0.048515866381371175,0.04251214770565942,0.05451958505708293,1215,3,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
full_simulated_target_avg,BN Target,3,anthropic/claude-opus-4-7,claude-opus-4.7,0.04008177443836482,0.034879519560658705,0.04528402931607093,1215,3,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
full_simulated_target_avg,BN Target,4,together_ai/Qwen/Qwen3.5-397B-A17B,qwen3.5-397b,0.03955762087094678,0.03445289724291732,0.04466234449897624,1215,3,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
full_simulated_target_avg,BN Target,5,gemini/gemini-3.1-pro-preview,gemini-3.1-pro,0.022161769967031005,0.01885590310325705,0.02546763683080496,1215,3,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
full_simulated_target_avg,BN Target,6,naive,naive,0.002615637185015553,0.0015474805341414103,0.0036837938358896954,1215,3,/Users/jlcmoore/workspace/continuouspersuasion/results/rl_model_sweep_debategpt_bn/episodes.jsonl
