corpus,trajectory_index,n_turns,total_delta,abs_total_delta,raw_belief_delta,initial_belief,final_belief,supports_proposition,stance,has_up_step,has_down_step,both_directions,sign_changes,max_up_step,max_down_step,abs_max_step,source_path,source_line_index,source_round_index,proposition
vanilla_llm_target__policy=gpt-5-2025-08-07,0,4,0.044672944922522356,0.044672944922522356,0.044672944922522356,0.035327055077477645,0.08,True,supports,1,0,0,0,0.04,0.0,0.04,/Users/jlcmoore/workspace/continuouspersuasion/results/sim_compare_exactpair_smoke_2026-05-02_rounds/llm_persuader=gpt-5-2025-08-07&llm_target=openai__gpt-5.4-mini&cm=serial-questions&fd=False&nee=True&tl=4/2026-05-02.jsonl,0,0,Every citizen should receive a basic income from the government.
vanilla_llm_target__policy=gpt-5-2025-08-07,1,4,0.10563231586416147,0.10563231586416147,0.10563231586416147,0.014367684135838533,0.12,True,supports,1,0,0,0,0.06999999999999999,0.0,0.06999999999999999,/Users/jlcmoore/workspace/continuouspersuasion/results/sim_compare_exactpair_smoke_2026-05-02_rounds/llm_persuader=gpt-5-2025-08-07&llm_target=openai__gpt-5.4-mini&cm=serial-questions&fd=False&nee=True&tl=4/2026-05-02.jsonl,1,0,Government surveillance is necessary for national security.
vanilla_llm_target__policy=gpt-5-2025-08-07,2,4,0.1285653801155552,0.1285653801155552,0.1285653801155552,0.0714346198844448,0.2,True,supports,1,0,0,0,0.1285653801155552,0.0,0.1285653801155552,/Users/jlcmoore/workspace/continuouspersuasion/results/sim_compare_exactpair_smoke_2026-05-02_rounds/llm_persuader=gpt-5-2025-08-07&llm_target=openai__gpt-5.4-mini&cm=serial-questions&fd=False&nee=True&tl=4/2026-05-02.jsonl,2,0,Online learning is a suitable replacement for traditional in-person education.
vanilla_llm_target__policy=gpt-5-2025-08-07,3,4,0.02325773601027825,0.02325773601027825,0.02325773601027825,0.47674226398972175,0.5,True,supports,1,0,0,0,0.02325773601027825,0.0,0.02325773601027825,/Users/jlcmoore/workspace/continuouspersuasion/results/sim_compare_exactpair_smoke_2026-05-02_rounds/llm_persuader=gpt-5-2025-08-07&llm_target=openai__gpt-5.4-mini&cm=serial-questions&fd=False&nee=True&tl=4/2026-05-02.jsonl,3,0,Every citizen should receive a basic income from the government.
vanilla_llm_target__policy=gpt-5-2025-08-07,4,4,-0.0040841088285966665,0.0040841088285966665,-0.0040841088285966665,0.37408410882859666,0.37,True,supports,0,0,0,0,0.0,-0.0040841088285966665,0.0040841088285966665,/Users/jlcmoore/workspace/continuouspersuasion/results/sim_compare_exactpair_smoke_2026-05-02_rounds/llm_persuader=gpt-5-2025-08-07&llm_target=openai__gpt-5.4-mini&cm=serial-questions&fd=False&nee=True&tl=4/2026-05-02.jsonl,4,0,Government surveillance is necessary for national security.
vanilla_llm_target__policy=gpt-5-2025-08-07,5,4,0.17510797217881086,0.17510797217881086,0.1751079721788109,0.41489202782118917,0.5900000000000001,False,opposes,1,0,0,0,0.18,-0.004892027821189138,0.18,/Users/jlcmoore/workspace/continuouspersuasion/results/sim_compare_exactpair_smoke_2026-05-02_rounds/llm_persuader=gpt-5-2025-08-07&llm_target=openai__gpt-5.4-mini&cm=serial-questions&fd=False&nee=True&tl=4/2026-05-02.jsonl,5,0,Online learning is a suitable replacement for traditional in-person education.
vanilla_llm_target__policy=gpt-5-2025-08-07,6,4,-0.004130512777525741,0.004130512777525741,-0.004130512777525741,0.09413051277752571,0.08999999999999997,False,opposes,0,0,0,0,-0.0,-0.004130512777525741,0.004130512777525741,/Users/jlcmoore/workspace/continuouspersuasion/results/sim_compare_exactpair_smoke_2026-05-02_rounds/llm_persuader=gpt-5-2025-08-07&llm_target=openai__gpt-5.4-mini&cm=serial-questions&fd=False&nee=True&tl=4/2026-05-02.jsonl,6,0,Every citizen should receive a basic income from the government.
vanilla_llm_target__policy=gpt-5-2025-08-07,7,4,0.0451530975108273,0.0451530975108273,0.0451530975108273,0.03484690248917266,0.07999999999999996,False,opposes,1,0,0,0,0.0451530975108273,-0.0,0.0451530975108273,/Users/jlcmoore/workspace/continuouspersuasion/results/sim_compare_exactpair_smoke_2026-05-02_rounds/llm_persuader=gpt-5-2025-08-07&llm_target=openai__gpt-5.4-mini&cm=serial-questions&fd=False&nee=True&tl=4/2026-05-02.jsonl,7,0,Government surveillance is necessary for national security.
vanilla_llm_target__policy=gpt-5-2025-08-07,8,4,0.004561061642786357,0.004561061642786357,0.004561061642786357,0.08543893835721361,0.08999999999999997,False,opposes,0,0,0,0,0.004561061642786357,-0.0,0.004561061642786357,/Users/jlcmoore/workspace/continuouspersuasion/results/sim_compare_exactpair_smoke_2026-05-02_rounds/llm_persuader=gpt-5-2025-08-07&llm_target=openai__gpt-5.4-mini&cm=serial-questions&fd=False&nee=True&tl=4/2026-05-02.jsonl,8,0,Online learning is a suitable replacement for traditional in-person education.
vanilla_llm_target__policy=gpt-5-2025-08-07,9,4,0.07966340263486768,0.07966340263486768,0.07966340263486768,0.040336597365132315,0.12,True,supports,1,0,0,0,0.039999999999999994,0.0,0.039999999999999994,/Users/jlcmoore/workspace/continuouspersuasion/results/sim_compare_exactpair_smoke_2026-05-02_rounds/llm_persuader=gpt-5-2025-08-07&llm_target=openai__gpt-5.4-mini&cm=serial-questions&fd=False&nee=True&tl=4/2026-05-02.jsonl,9,0,There should be mandatory quotas for women in leadership positions.
