corpus,proposition,stance,n_rounds,mean_total_delta,median_total_delta,mean_abs_total_delta,toward_round_rate,away_round_rate,near_zero_round_rate
full_simulated_target,Abortion should be legal.,opposes,6,-0.018820290650528353,-0.015515842820885861,0.03982585898498997,0.16666666666666666,0.6666666666666666,0.16666666666666666
full_simulated_target,Abortion should be legal.,supports,9,0.2028490397541796,0.16086187240854194,0.2028490397541796,1.0,0.0,0.0
full_simulated_target,Animals should be used for scientific research.,opposes,6,-0.02694052029525294,-0.029127265583150652,0.027011333979935843,0.0,0.6666666666666666,0.3333333333333333
full_simulated_target,Animals should be used for scientific research.,supports,9,0.06591556190167804,0.05551478745093513,0.06591556190167804,1.0,0.0,0.0
full_simulated_target,Artificial intelligence is good for society.,opposes,6,-0.05508030466465395,-0.04826554762322355,0.05508030466465395,0.0,0.6666666666666666,0.3333333333333333
full_simulated_target,Artificial intelligence is good for society.,supports,9,0.11328491289789826,0.06290151739687055,0.11328491289789826,0.8888888888888888,0.0,0.1111111111111111
full_simulated_target,Arts education is as important as science and math in schools.,opposes,6,0.019798099233345873,9.508867499674611e-06,0.030820455845419942,0.3333333333333333,0.3333333333333333,0.3333333333333333
full_simulated_target,Arts education is as important as science and math in schools.,supports,9,0.17844095748729896,0.09539789768854326,0.17844095748729896,0.8888888888888888,0.0,0.1111111111111111
full_simulated_target,Colleges should consider race as a factor in admissions to ensure diversity.,opposes,6,0.01703989419650413,-0.005116685542928212,0.03447209899037077,0.16666666666666666,0.3333333333333333,0.5
full_simulated_target,Colleges should consider race as a factor in admissions to ensure diversity.,supports,9,0.15451563513126806,0.09340678058272839,0.15451563513126806,1.0,0.0,0.0
full_simulated_target,Elected or appointed government officials should be paid the minimum wage.,opposes,6,-0.0030784523146338283,-0.004357204070511711,0.009534269828228747,0.16666666666666666,0.3333333333333333,0.5
full_simulated_target,Elected or appointed government officials should be paid the minimum wage.,supports,9,0.060015986421763104,0.026256497155091228,0.060015986421763104,0.8888888888888888,0.0,0.1111111111111111
full_simulated_target,Every citizen should receive a basic income from the government.,opposes,6,-0.03474828469815844,-0.03616732342527118,0.037268626394645586,0.0,0.6666666666666666,0.3333333333333333
full_simulated_target,Every citizen should receive a basic income from the government.,supports,9,0.12719620020821423,0.08500862943953294,0.12719620020821423,0.8888888888888888,0.0,0.1111111111111111
full_simulated_target,Felons should regain the right to vote.,opposes,6,-0.030177101589042205,-0.026389464622839698,0.030177101589042205,0.0,0.6666666666666666,0.3333333333333333
full_simulated_target,Felons should regain the right to vote.,supports,9,0.1745018429353246,0.11268814852422104,0.1745018429353246,0.8888888888888888,0.0,0.1111111111111111
full_simulated_target,Government surveillance is necessary for national security.,opposes,6,-0.004561188606536722,-0.0012371675656924763,0.013333010657794353,0.16666666666666666,0.3333333333333333,0.5
full_simulated_target,Government surveillance is necessary for national security.,supports,9,0.0698833769928906,0.04129732707951103,0.0698833769928906,0.8888888888888888,0.0,0.1111111111111111
full_simulated_target,Governments should have the right to censor the Internet.,opposes,6,-0.024046834396012445,-0.023188964678849566,0.039618718463485046,0.16666666666666666,0.5,0.3333333333333333
full_simulated_target,Governments should have the right to censor the Internet.,supports,9,0.09058154073041648,0.03279941905185668,0.09058154073041648,0.7777777777777778,0.0,0.2222222222222222
full_simulated_target,Online learning is a suitable replacement for traditional in-person education.,opposes,6,-0.033205425660165044,-0.017291007708359674,0.033205425660165044,0.0,0.5,0.5
full_simulated_target,Online learning is a suitable replacement for traditional in-person education.,supports,9,0.10864018965694854,0.03405289591866428,0.10864018965694854,1.0,0.0,0.0
full_simulated_target,Public college should be tuition-free.,opposes,6,-0.007924308158564522,0.006681899984981421,0.025488812488215034,0.5,0.3333333333333333,0.16666666666666666
full_simulated_target,Public college should be tuition-free.,supports,9,0.08854616627880266,0.023495408766966083,0.08854616627880266,0.8888888888888888,0.0,0.1111111111111111
full_simulated_target,Social media are making people stupid.,opposes,6,0.005094168741589762,-0.006267406954027777,0.0328019662554758,0.16666666666666666,0.3333333333333333,0.5
full_simulated_target,Social media are making people stupid.,supports,9,0.0985417134012119,0.07085766447611289,0.0985417134012119,0.7777777777777778,0.0,0.2222222222222222
full_simulated_target,Space exploration is a worthwhile investment for humanity.,opposes,6,0.0034876981229644555,-0.002704959796192674,0.02339392026624898,0.3333333333333333,0.5,0.16666666666666666
full_simulated_target,Space exploration is a worthwhile investment for humanity.,supports,9,0.1047974698817788,0.03983921060398313,0.1047974698817788,0.8888888888888888,0.0,0.1111111111111111
full_simulated_target,Students should have to wear school uniforms.,opposes,6,-0.011958513770972068,-0.010875358953247316,0.05486167677393444,0.16666666666666666,0.6666666666666666,0.16666666666666666
full_simulated_target,Students should have to wear school uniforms.,supports,9,0.06621742058239469,0.01640538385176294,0.06621742058239469,0.6666666666666666,0.0,0.3333333333333333
full_simulated_target,The US should ban fossil fuels to combat climate change.,opposes,6,-0.039462864328206615,-0.028927915264871984,0.039462864328206615,0.0,0.6666666666666666,0.3333333333333333
full_simulated_target,The US should ban fossil fuels to combat climate change.,supports,9,0.13387564996703905,0.10880096458324914,0.13387564996703905,0.7777777777777778,0.0,0.2222222222222222
full_simulated_target,The US should enact more regulations to ensure fair elections.,opposes,6,-0.02521611095741938,-0.010203076130172017,0.029200425279075515,0.0,0.5,0.5
full_simulated_target,The US should enact more regulations to ensure fair elections.,supports,9,0.12423326525617985,0.05816593780528903,0.12423326525617985,0.7777777777777778,0.0,0.2222222222222222
full_simulated_target,The US should expand ('pack') the Supreme Court.,opposes,6,-0.020762747643493045,-0.021497020922864984,0.020762747643493045,0.0,0.8333333333333334,0.16666666666666666
full_simulated_target,The US should expand ('pack') the Supreme Court.,supports,9,0.10792067114903375,0.06175596152797891,0.10792067114903375,1.0,0.0,0.0
full_simulated_target,The US should have mandatory national service.,opposes,6,-0.032770684142320004,-0.016698433635174814,0.036762271627014675,0.16666666666666666,0.5,0.3333333333333333
full_simulated_target,The US should have mandatory national service.,supports,9,0.10002520981133155,0.08955521881808737,0.10002520981133155,1.0,0.0,0.0
full_simulated_target,The US should provide military aid to Ukraine in its conflict with Russia.,opposes,6,0.02443739818285782,-0.002517162192160971,0.04421454515432335,0.16666666666666666,0.3333333333333333,0.5
full_simulated_target,The US should provide military aid to Ukraine in its conflict with Russia.,supports,9,0.07343379709817094,0.02843016588054134,0.07343379709817094,0.6666666666666666,0.0,0.3333333333333333
full_simulated_target,The death penalty should be legal.,opposes,6,-0.046865764225223296,-0.04108657954084588,0.046865764225223296,0.0,0.6666666666666666,0.3333333333333333
full_simulated_target,The death penalty should be legal.,supports,9,0.13972035456252274,0.11658210992881597,0.13972035456252274,0.7777777777777778,0.0,0.2222222222222222
full_simulated_target,The penny should stay in circulation.,opposes,6,-0.009425479309640938,-0.0035624606383035107,0.01988044171165036,0.16666666666666666,0.3333333333333333,0.5
full_simulated_target,The penny should stay in circulation.,supports,9,0.04059871773473898,0.025407334800544808,0.04059871773473898,0.7777777777777778,0.0,0.2222222222222222
full_simulated_target,The rich should pay more taxes.,opposes,6,-0.015800091368071274,-0.0053815979068342346,0.021932556474402825,0.16666666666666666,0.3333333333333333,0.5
full_simulated_target,The rich should pay more taxes.,supports,9,0.10761368891490466,0.040640130840616295,0.10761368891490466,1.0,0.0,0.0
full_simulated_target,There should be international agreements to enforce global climate change policies.,opposes,6,-0.008974910133211889,-0.0131198656055585,0.034529782543915165,0.16666666666666666,0.5,0.3333333333333333
full_simulated_target,There should be international agreements to enforce global climate change policies.,supports,9,0.07865308210958621,0.06401974405428706,0.07865308210958621,0.8888888888888888,0.0,0.1111111111111111
full_simulated_target,There should be limits on freedom of speech to prevent hate speech.,opposes,6,0.006902965148591548,-0.008751265537587316,0.025046621660023898,0.16666666666666666,0.5,0.3333333333333333
full_simulated_target,There should be limits on freedom of speech to prevent hate speech.,supports,9,0.10140688201748708,0.0894725007568718,0.10140688201748708,0.7777777777777778,0.0,0.2222222222222222
full_simulated_target,There should be mandatory quotas for women in leadership positions.,opposes,6,-0.0004173389313445834,0.0008840037584738614,0.01663429470419797,0.3333333333333333,0.3333333333333333,0.3333333333333333
full_simulated_target,There should be mandatory quotas for women in leadership positions.,supports,9,0.09385145013389946,0.030311619848429172,0.09385145013389946,0.7777777777777778,0.0,0.2222222222222222
full_simulated_target,There should be standardized testing in schools.,opposes,6,0.008385866264776498,-0.0032323350979683863,0.03515104419330763,0.3333333333333333,0.3333333333333333,0.3333333333333333
full_simulated_target,There should be standardized testing in schools.,supports,9,0.09205754521690003,0.05735984919212561,0.09205754521690003,0.6666666666666666,0.0,0.3333333333333333
structure_target,Abortion should be legal.,opposes,2,0.0007482683514912769,0.0007482683514912769,0.0018927280473511332,0.0,0.0,1.0
structure_target,Abortion should be legal.,supports,3,-0.014138781305017162,0.00034470104160373716,0.0173592720974267,0.0,0.3333333333333333,0.6666666666666666
structure_target,Animals should be used for scientific research.,opposes,2,0.08074826835149129,0.08074826835149129,0.08074826835149129,0.5,0.0,0.5
structure_target,Animals should be used for scientific research.,supports,3,0.10252788536164949,0.08275291989633415,0.10252788536164949,1.0,0.0,0.0
structure_target,Artificial intelligence is good for society.,opposes,2,0.02074826835149124,0.02074826835149124,0.021892728047351095,0.5,0.0,0.5
structure_target,Artificial intelligence is good for society.,supports,3,0.029194552028316167,0.07448603514701058,0.08069260543076005,0.6666666666666666,0.3333333333333333,0.0
structure_target,Arts education is as important as science and math in schools.,opposes,2,0.0007482683514912769,0.0007482683514912769,0.0018927280473511332,0.0,0.0,1.0
structure_target,Arts education is as important as science and math in schools.,supports,3,-0.014138781305017162,0.00034470104160373716,0.0173592720974267,0.0,0.3333333333333333,0.6666666666666666
structure_target,Colleges should consider race as a factor in admissions to ensure diversity.,opposes,2,0.7407482683514912,0.7407482683514912,0.7407482683514912,1.0,0.0,0.0
structure_target,Colleges should consider race as a factor in admissions to ensure diversity.,supports,3,-0.024138781305017173,0.00034470104160373716,0.02735927209742671,0.0,0.3333333333333333,0.6666666666666666
structure_target,Elected or appointed government officials should be paid the minimum wage.,opposes,2,0.7907482683514913,0.7907482683514913,0.7907482683514913,1.0,0.0,0.0
structure_target,Elected or appointed government officials should be paid the minimum wage.,supports,3,-0.07080544797168382,0.00034470104160373716,0.07402593876409336,0.0,0.3333333333333333,0.6666666666666666
structure_target,Every citizen should receive a basic income from the government.,opposes,2,0.0007482683514912769,0.0007482683514912769,0.0018927280473511332,0.0,0.0,1.0
structure_target,Every citizen should receive a basic income from the government.,supports,3,-0.007472114638350495,0.00448603514701057,0.02402593876409337,0.3333333333333333,0.3333333333333333,0.3333333333333333
structure_target,Felons should regain the right to vote.,opposes,2,0.0007482683514912769,0.0007482683514912769,0.0018927280473511332,0.0,0.0,1.0
structure_target,Felons should regain the right to vote.,supports,3,-0.014138781305017162,0.00034470104160373716,0.0173592720974267,0.0,0.3333333333333333,0.6666666666666666
structure_target,Government surveillance is necessary for national security.,opposes,2,0.16074826835149125,0.16074826835149125,0.1618927280473511,0.5,0.0,0.5
structure_target,Government surveillance is necessary for national security.,supports,3,0.02586121869498284,0.05034470104160374,0.0573592720974267,0.6666666666666666,0.3333333333333333,0.0
structure_target,Governments should have the right to censor the Internet.,opposes,2,0.3707482683514912,0.3707482683514912,0.3718927280473511,0.5,0.0,0.5
structure_target,Governments should have the right to censor the Internet.,supports,3,-0.02413878130501716,0.03448603514701057,0.08069260543076003,0.6666666666666666,0.3333333333333333,0.0
structure_target,Online learning is a suitable replacement for traditional in-person education.,opposes,2,0.13074826835149123,0.13074826835149123,0.13074826835149123,1.0,0.0,0.0
structure_target,Online learning is a suitable replacement for traditional in-person education.,supports,3,0.049194552028316164,0.054486035147010586,0.049194552028316164,0.6666666666666666,0.0,0.3333333333333333
structure_target,Public college should be tuition-free.,opposes,2,0.46074826835149124,0.46074826835149124,0.46074826835149124,1.0,0.0,0.0
structure_target,Public college should be tuition-free.,supports,3,-0.0008054479716838268,0.00448603514701057,0.06402593876409336,0.3333333333333333,0.3333333333333333,0.3333333333333333
structure_target,Social media are making people stupid.,opposes,2,0.3757482683514913,0.3757482683514913,0.3757482683514913,1.0,0.0,0.0
structure_target,Social media are making people stupid.,supports,3,0.08586121869498282,0.10448603514701058,0.08586121869498282,0.6666666666666666,0.0,0.3333333333333333
structure_target,Space exploration is a worthwhile investment for humanity.,opposes,2,0.030748268351491304,0.030748268351491304,0.030748268351491304,0.5,0.0,0.5
structure_target,Space exploration is a worthwhile investment for humanity.,supports,3,0.039194552028316176,0.07448603514701058,0.07069260543076004,0.6666666666666666,0.3333333333333333,0.0
structure_target,Students should have to wear school uniforms.,opposes,2,0.3307482683514913,0.3307482683514913,0.3307482683514913,1.0,0.0,0.0
structure_target,Students should have to wear school uniforms.,supports,3,-0.004138781305017168,0.00448603514701057,0.04069260543076004,0.3333333333333333,0.3333333333333333,0.3333333333333333
