"term","estimate","std_err","z_value","p_value","ci_low","ci_high","odds_ratio","odds_ratio_ci_low","odds_ratio_ci_high","nobs","formula"
"agreement_pre_likert",1.03127626320674,0.0660287385319534,15.6185970856867,5.43892157655756e-55,0.90185993568411,1.16069259072937,2.80464301418929,2.46418207171819,3.19214335958384,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"mean_logos_z",-0.0200302275750023,0.0760438997390628,-0.263403476725077,0.792239611160334,-0.169076271063565,0.129015815913561,0.980169044725643,0.844444494250091,1.13770811791669,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"mean_pathos_z",-0.0679447568026836,0.0758844035090067,-0.895371824259239,0.370588357193934,-0.216678187680337,0.0807886740749696,0.93431208653852,0.805189047370611,1.08414176509553,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"mean_ethos_z",-0.161307106558183,0.0746900543390055,-2.15968656048953,0.0307969422992874,-0.307699613062634,-0.0149146000537322,0.851030673869642,0.735136110130543,0.98519607170216,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"treatment_typeHuman-AI, personalized",0.152426383380475,0.209481623436502,0.727636061244669,0.466836399703878,-0.258157598555068,0.563010365316019,1.16465672084797,0.772473481808783,1.75595060459578,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"treatment_typeHuman-Human",0.190549420970352,0.193270879003717,0.985918944191729,0.324172889844353,-0.188261501876933,0.569360343817637,1.20991416729212,0.828398051260691,1.7671363301572,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"treatment_typeHuman-Human, personalized",0.227323195014811,0.227175987243212,1.00064799001596,0.316997020236967,-0.217941739981885,0.672588130011507,1.25523548824173,0.804172291394078,1.95930169169351,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicIs Artificial Intelligence Good for Society?",-0.165300274393283,0.49771687513944,-0.332117078302745,0.739800854745253,-1.14082534966658,0.810224800880019,0.847639141541572,0.319555168194008,2.24841337517384,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicIs Arts Education as Important as Science and Math in Schools?",-0.268260053676204,0.515229180064656,-0.520661608572984,0.602602523173329,-1.27810924660293,0.741589139250522,0.764708889884749,0.278563497721414,2.09926889578904,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicIs Government Surveillance Necessary for National Security?",-0.313631468938691,0.526268731276371,-0.595953075490604,0.55120657485303,-1.34511818224038,0.717855244362995,0.730788296726046,0.260508918513006,2.0500316752307,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicIs Online Learning a Suitable Replacement for Traditional In-Person Education?",0.0469492607403466,0.517432114444626,0.0907351117754616,0.92770307053012,-0.967217683571121,1.06111620505181,1.04806882949405,0.38013923572486,2.88959456990139,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicIs Space Exploration a Worthwhile Investment for Humanity?",0.163540900999322,0.519196310300729,0.314988565509249,0.752770335694269,-0.854083867190108,1.18116566918875,1.17767352222631,0.425672985491581,3.25816993848286,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Abortion Be Legal?",0.212493023323569,0.554707529103122,0.383072181600164,0.70166624514342,-0.87473373371855,1.29971978036569,1.23675748507839,0.416973030756964,3.66826860269758,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Animals Be Used For Scientific Research?",0.30685475323331,0.541504462234725,0.566670774912836,0.57093788011011,-0.75449399274675,1.36820349921337,1.3591435425296,0.47024850369239,3.92828718155429,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Colleges Consider Race as a Factor in Admissions to Ensure Diversity?",-0.102797624502557,0.522542174402595,-0.196725986031811,0.844041973542947,-1.12698028633164,0.92138503732653,0.902309560351462,0.324010198662555,2.51276825872253,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Elected or Appointed Government Officials Be Paid the Minimum Wage?",-0.458240511668755,0.527375545854134,-0.868907394874732,0.38489778449966,-1.49189658154286,0.575415558205347,0.632395359451954,0.224945622999698,1.77786918155284,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
"topicShould Every Citizen Receive a Basic Income from the Government?",0.294060799679193,0.519819669148302,0.565697716211848,0.571599288000859,-0.724785751851479,1.31290735120987,1.34186548617793,0.484428345714137,3.71696453959793,750,"agreement_post_likert ~ agreement_pre_likert + mean_logos_z +      mean_pathos_z + mean_ethos_z + treatment_type + topic"
