corpus,source,split,proposition_id,pair_family,mirror_magnitude,for_delta,against_delta,for_minus_against,abs_for_minus_against
full_simulated_target,debategpt,test,Every citizen should receive a basic income from the government.,very,0.0449913342,0.1572018577128998,0.026773144216072686,0.1304287134968271,0.1304287134968271
full_simulated_target,debategpt,test,Government surveillance is necessary for national security.,very,0.0056195689,0.011236012827026732,0.0033265215211507604,0.007909491305875972,0.007909491305875972
full_simulated_target,debategpt,test,Online learning is a suitable replacement for traditional in-person education.,very,0.0581973668,0.0925308084263603,0.048097260966409205,0.044433547459951095,0.044433547459951095
full_simulated_target,debategpt,test,There should be mandatory quotas for women in leadership positions.,very,0.0489979623,0.04282710972108207,-0.0014214123179454585,0.04424852203902753,0.04424852203902753
full_simulated_target,debategpt,test,Elected or appointed government officials should be paid the minimum wage.,very,0.0494486187,0.013397902511464228,0.02126623065627764,-0.007868328144813412,0.007868328144813412
full_simulated_target,debategpt,test,Felons should regain the right to vote.,very,0.0129244553,0.04252871107435781,0.005479393366828678,0.03704931770752913,0.03704931770752913
full_simulated_target,debategpt,test,The rich should pay more taxes.,very,0.0202085509,0.06935906538949572,0.012324335349598092,0.05703473003989763,0.05703473003989763
full_simulated_target,debategpt,test,Public college should be tuition-free.,very,0.0351532537,0.00619967044385613,0.019322862145465747,-0.013123191701609617,0.013123191701609617
full_simulated_target,debategpt,test,The US should ban fossil fuels to combat climate change.,very,0.044294105,0.06786927537854871,0.03050548919860463,0.03736378617994408,0.03736378617994408
full_simulated_target,debategpt,test,The penny should stay in circulation.,very,0.0932089477,0.053191143888728754,0.02319605575273087,0.029995088135997883,0.029995088135997883
full_simulated_target,debategpt,test,The US should have mandatory national service.,very,0.079441686,0.24019534727667538,0.03790352141701725,0.20229182585965813,0.20229182585965813
full_simulated_target,debategpt,test,Artificial intelligence is good for society.,very,0.0172790708,0.028385828268838634,0.01107391566417526,0.017311912604663374,0.017311912604663374
full_simulated_target,debategpt,test,Social media are making people stupid.,very,0.0408767363,0.048017235980172095,0.01061360164471914,0.037403634335452955,0.037403634335452955
full_simulated_target,debategpt,test,Governments should have the right to censor the Internet.,very,0.0586635858,0.2209302135835263,0.03480288966392042,0.18612732391960587,0.18612732391960587
full_simulated_target,debategpt,test,Space exploration is a worthwhile investment for humanity.,very,0.0006916367,0.0006772798312810671,6.632899798009184e-05,0.0006109508333009753,0.0006109508333009753
full_simulated_target,debategpt,test,The US should provide military aid to Ukraine in its conflict with Russia.,very,0.0879464695,0.23499633845257112,-0.027865838042594904,0.262862176495166,0.262862176495166
full_simulated_target,debategpt,test,Animals should be used for scientific research.,very,0.040168086,0.06252692334439947,-0.000983490718206692,0.06351041406260616,0.06351041406260616
full_simulated_target,debategpt,test,Students should have to wear school uniforms.,very,0.0047404036,0.01360847523214764,0.002612108412301417,0.010996366819846223,0.010996366819846223
full_simulated_target,debategpt,test,There should be international agreements to enforce global climate change policies.,very,0.068926096,0.27471054190059474,0.0067627339694573685,0.26794780793113737,0.26794780793113737
full_simulated_target,debategpt,test,Abortion should be legal.,very,0.0485240916,0.10780366823333626,0.014132306188574084,0.09367136204476217,0.09367136204476217
full_simulated_target,debategpt,test,The US should enact more regulations to ensure fair elections.,very,0.0019790272,0.0009832435711864566,0.0008718888989606155,0.0001113546722258411,0.0001113546722258411
full_simulated_target,debategpt,test,There should be limits on freedom of speech to prevent hate speech.,very,0.0944131557,0.14368419853293724,0.06096395940754884,0.0827202391253884,0.0827202391253884
full_simulated_target,debategpt,test,There should be standardized testing in schools.,very,0.0166260029,0.013216247292167027,8.371838398890663e-05,0.01313252890817812,0.01313252890817812
full_simulated_target,debategpt,test,The US should expand ('pack') the Supreme Court.,very,0.02361982,0.18968387725049932,0.011369518855875338,0.17831435839462398,0.17831435839462398
full_simulated_target,debategpt,test,Colleges should consider race as a factor in admissions to ensure diversity.,very,0.044297599,0.11802367468629574,-0.0601938830291715,0.17821755771546724,0.17821755771546724
full_simulated_target,debategpt,test,The death penalty should be legal.,very,0.0935079469,0.08290485053306444,0.052647406911615624,0.030257443621448818,0.030257443621448818
full_simulated_target,debategpt,test,Arts education is as important as science and math in schools.,very,0.0521312568,0.21291870495502174,0.006864986193418687,0.20605371876160306,0.20605371876160306
full_simulated_target,debategpt,test,Every citizen should receive a basic income from the government.,mid,0.2168992345,0.23579301425149565,0.1656527460335352,0.07014026821796046,0.07014026821796046
full_simulated_target,debategpt,test,Government surveillance is necessary for national security.,mid,0.2077235042,0.31836208513815467,0.1704544341208718,0.14790765101728287,0.14790765101728287
full_simulated_target,debategpt,test,Online learning is a suitable replacement for traditional in-person education.,mid,0.3420578907,0.2488844158478305,0.04310064177737338,0.20578377407045712,0.20578377407045712
full_simulated_target,debategpt,test,There should be mandatory quotas for women in leadership positions.,mid,0.1306410462,0.33520728099258684,0.041153644163156144,0.2940536368294307,0.2940536368294307
full_simulated_target,debategpt,test,Elected or appointed government officials should be paid the minimum wage.,mid,0.1937282154,0.25337574318655903,0.01499793542718908,0.23837780775936995,0.23837780775936995
full_simulated_target,debategpt,test,Felons should regain the right to vote.,mid,0.1907047315,0.30751169126000727,-0.08567838669629058,0.39319007795629785,0.39319007795629785
full_simulated_target,debategpt,test,The rich should pay more taxes.,mid,0.2096145742,0.5713734372279338,0.06562620166789379,0.50574723556004,0.50574723556004
full_simulated_target,debategpt,test,Public college should be tuition-free.,mid,0.1188142785,0.20372677630542166,-0.02342613833828866,0.22715291464371032,0.22715291464371032
full_simulated_target,debategpt,test,The US should ban fossil fuels to combat climate change.,mid,0.1863509517,0.21909945145151088,0.11436062012056358,0.1047388313309473,0.1047388313309473
full_simulated_target,debategpt,test,The penny should stay in circulation.,mid,0.2692610027,0.11112223373692182,0.020759792168766,0.09036244156815582,0.09036244156815582
full_simulated_target,debategpt,test,The US should have mandatory national service.,mid,0.1826734699,0.20006656962486902,0.03713020955647672,0.1629363600683923,0.1629363600683923
full_simulated_target,debategpt,test,Artificial intelligence is good for society.,mid,0.1856246035,0.2665846498503994,0.031564708350476756,0.23501994149992267,0.23501994149992267
full_simulated_target,debategpt,test,Social media are making people stupid.,mid,0.2986979949,0.45231949736090865,0.00035860845462132307,0.45196088890628733,0.45196088890628733
full_simulated_target,debategpt,test,Governments should have the right to censor the Internet.,mid,0.2765955838,0.4265350119507596,0.15511784670712925,0.27141716524363035,0.27141716524363035
full_simulated_target,debategpt,test,Space exploration is a worthwhile investment for humanity.,mid,0.2288602107,0.45508133676820606,-0.004523471123397904,0.45960480789160396,0.45960480789160396
full_simulated_target,debategpt,test,The US should provide military aid to Ukraine in its conflict with Russia.,mid,0.1264772535,0.2344043399795827,-0.00487480092534498,0.2392791409049277,0.2392791409049277
full_simulated_target,debategpt,test,Animals should be used for scientific research.,mid,0.2960725431,0.1477497563430239,0.026687529046834246,0.12106222729618965,0.12106222729618965
full_simulated_target,debategpt,test,Students should have to wear school uniforms.,mid,0.2596162161,0.389302399183968,0.06829975319911741,0.32100264598485057,0.32100264598485057
full_simulated_target,debategpt,test,There should be international agreements to enforce global climate change policies.,mid,0.3450986364,0.2558135227189067,-0.08218756540994654,0.33800108812885327,0.33800108812885327
full_simulated_target,debategpt,test,Abortion should be legal.,mid,0.2954836919,0.43475564762134067,0.225392728650192,0.20936291897114867,0.20936291897114867
full_simulated_target,debategpt,test,The US should enact more regulations to ensure fair elections.,mid,0.206640923,0.23201080087730774,0.00987751554641858,0.22213328533088916,0.22213328533088916
full_simulated_target,debategpt,test,There should be limits on freedom of speech to prevent hate speech.,mid,0.3391234851,0.3429724450048032,0.10191160053238213,0.24106084447242104,0.24106084447242104
full_simulated_target,debategpt,test,There should be standardized testing in schools.,mid,0.1824618357,0.1855999832812685,0.0046187998808832065,0.1809811834003853,0.1809811834003853
full_simulated_target,debategpt,test,The US should expand ('pack') the Supreme Court.,mid,0.2136686979,0.297995984139902,0.16827697516754592,0.1297190089723561,0.1297190089723561
full_simulated_target,debategpt,test,Colleges should consider race as a factor in admissions to ensure diversity.,mid,0.1458712953,0.3955507110230704,-0.018324295975319593,0.41387500699838997,0.41387500699838997
full_simulated_target,debategpt,test,The death penalty should be legal.,mid,0.1441659352,0.06194171928087186,0.08505276705660714,-0.023111047775735277,0.023111047775735277
full_simulated_target,debategpt,test,Arts education is as important as science and math in schools.,mid,0.3259778696,0.4918131032592874,-0.08802843282727812,0.5798415360865655,0.5798415360865655
full_simulated_target,debategpt,test,Every citizen should receive a basic income from the government.,very,0.0163555545,0.010609482533424846,-0.00046577721722174115,0.011075259750646587,0.011075259750646587
full_simulated_target,debategpt,test,Government surveillance is necessary for national security.,very,0.097314384,0.04641744675253914,0.011394841185704885,0.03502260556683426,0.03502260556683426
full_simulated_target,debategpt,test,Online learning is a suitable replacement for traditional in-person education.,very,0.091265044,0.013345324096535813,0.01374089988961713,-0.00039557579308131807,0.00039557579308131807
full_simulated_target,debategpt,test,There should be mandatory quotas for women in leadership positions.,very,0.0274842488,0.005183057749623677,-0.00011656075202481908,0.005299618501648496,0.005299618501648496
